"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"1",-0.643820444687788,-0.150712936699619,-0.17092750129064,-0.0712778726019257,-0.0568346473887055,-0.0125608586743888,0.0684117587728579,-0.038808819137411,-0.105772669506219,-0.0725751315689177
"2",-0.627542510688145,-0.139667915960677,-0.177538878597284,-0.0582995474267452,-0.016123243768189,-0.0644641433019115,0.0574089426568479,-0.0410208717050731,-0.116444479321181,-0.0458324489432918
"3",-0.622372886541896,-0.130105346198275,-0.190200036362301,-0.0367364015590403,-0.00850873536062542,-0.0863242111602033,0.00690092214712596,-0.0489109525328978,-0.117845352921281,-0.00671070727190481
"4",-0.605366671321614,-0.136236611953739,-0.190302169913215,-0.00496806694788969,-0.000859563339693,-0.0738146780426964,-0.0441043757758627,-0.031502380415529,-0.084346959892355,0.0419833766310591
"5",-0.580187155947217,-0.134911982501406,-0.179524286993129,0.0245336539025606,0.00259555829779187,-0.0324938425344864,-0.0774092257693348,-0.00759073061361926,-0.0236596913752805,0.08866022984181
"6",-0.55870128745006,-0.140459395306862,-0.167016752459496,0.0545002954800649,-0.00832553047648184,0.018553285150223,-0.0690532251020755,0.0418020042037162,0.038859012174841,0.124842831103299
"7",-0.545112769661962,-0.150056123122815,-0.1540109164825,0.0807363411758046,-0.0165959111833853,0.048216829729807,-0.023523655155582,0.101386486005466,0.0891995910000268,0.136907458603459
"8",-0.520730731312721,-0.14729980067387,-0.126270386519928,0.0995256005013385,0.0180682790828149,0.0378302736919092,0.0166769950344395,0.133225172166022,0.133053612298364,0.115242724869447
"9",-0.504743437001524,-0.132934358495436,-0.1023932939368,0.114243986900332,0.0434399834141673,0.0155063949259951,0.0224963388110955,0.124256304872268,0.140467352269852,0.0605577673839174
"10",-0.485533392877022,-0.126155511165003,-0.0771319262319189,0.131676624424247,0.0569004510594616,0.00146285551784401,0.00445469874242059,0.100341123134585,0.115552018605186,-0.0139474030425447
"11",-0.469042212730666,-0.123421680126893,-0.0542553645242314,0.147791315919527,0.046181269093872,0.00744133111366562,-0.016871806607702,0.0742833863512647,0.0659196787518073,-0.0897380902170759
"12",-0.453947635785629,-0.129709650865818,-0.031369585109269,0.161512307387644,0.0223753202752854,0.0234118185409319,-0.0182002079035932,0.06627663147333,0.00621169349898487,-0.145302430414234
"13",-0.437713502332362,-0.132666682111671,-0.00712663294091165,0.165480682450863,-0.000910097147606713,0.03256280708772,-0.000342976893523158,0.0606226519127307,-0.053841717999704,-0.169081374718619
"14",-0.421809718487411,-0.116424897564524,0.0163335638132851,0.153207620739682,-0.0196475740756332,0.0273226619464533,0.0208706342765387,0.0328328705168577,-0.105128964905459,-0.158757820171164
"15",-0.413259452015917,-0.120998662111074,0.0343909908363616,0.145024995657184,-0.0339174198473516,0.00497742667067152,0.0463378550619029,0.0373789573471291,-0.139878425764068,-0.106729879418959
"16",-0.402884534839063,-0.112673420939001,0.0534587633301636,0.127521770156477,-0.0344624842731267,-0.0293572223939395,0.0466100179814638,0.0199183759010829,-0.149400794327785,-0.0326509629682725
"17",-0.395093164739889,-0.105270101290267,0.067057689924504,0.107729176584224,-0.04334344578837,-0.0536348527492714,0.0249269340968736,-0.00321696180445438,-0.140965062557243,0.0488364833116079
"18",-0.380204037740319,-0.104882448877826,0.0834998313319206,0.0888069344595987,-0.0457135822894759,-0.0615893225319644,-0.00482137717124232,-0.0162515549177685,-0.103324765396058,0.122600547025579
"19",-0.3693113690921,-0.110696986341243,0.0948140562057886,0.0696891054895359,-0.0600115951551872,-0.0498944228118148,-0.0269484677324861,-0.0143228536755089,-0.0528686412128309,0.173462070727226
"20",-0.352970580423155,-0.113409886556518,0.106822159332208,0.045129453658842,-0.0690691712276698,-0.0309484429109713,-0.0329009375103629,-0.00881455531943068,0.00300418634267861,0.188354828602317
"21",-0.336163130392573,-0.110981131468311,0.115704001969097,0.0151574566101353,-0.0724015236028575,-0.0147390640649765,-0.0241573612092763,-0.0051229611580578,0.0526426481962624,0.162768972025766
"22",-0.329034876260826,-0.104517049794483,0.114177455177154,-0.0186652167337517,-0.0785543973244749,-0.00717785387786026,-0.00540411454325282,-0.00437024297633123,0.0830605320245632,0.101769475121979
"23",-0.320001721134365,-0.101946501749977,0.109948123531918,-0.0496934457525004,-0.0681034181617305,-0.0161488503532578,0.013540444856087,0.00287643786054848,0.0955343054821104,0.0207824872628203
"24",-0.318307443249508,-0.0976171327487333,0.0961263722202886,-0.0783545544532285,-0.0597602237093886,-0.031304873246091,0.017793982409965,0.000809840847797399,0.0833208149524435,-0.0653337829540465
